Id,Area,House,Hospital,Company,Industry,Dated
1,Area 1,127,323,479,674,26-03-2023
2,Area 1,144,322,470,505,27-03-2023
3,Area 1,100,233,607,748,28-03-2023
4,Area 1,147,245,551,755,29-03-2023
5,Area 1,109,317,440,501,30-03-2023
6,Area 1,100,320,514,761,31-03-2023
7,Area 1,154,327,391,864,01-04-2023
8,Area 1,129,386,494,744,02-04-2023
9,Area 1,114,267,406,567,03-04-2023
10,Area 1,145,374,559,771,04-04-2023
11,Area 1,104,215,438,594,05-04-2023
12,Area 1,117,269,498,501,06-04-2023
13,Area 1,153,404,482,525,07-04-2023
14,Area 1,125,233,435,543,08-04-2023
15,Area 1,139,216,486,774,09-04-2023
16,Area 1,99,213,616,796,10-04-2023
17,Area 1,93,247,496,549,11-04-2023
18,Area 1,115,408,464,637,12-04-2023
19,Area 1,109,289,459,722,13-04-2023
20,Area 1,136,350,415,500,14-04-2023
21,Area 1,141,238,618,828,15-04-2023
22,Area 1,136,372,539,872,16-04-2023
23,Area 1,116,386,536,738,17-04-2023
24,Area 1,141,311,480,748,18-04-2023
25,Area 1,104,303,389,600,19-04-2023
26,Area 1,123,399,618,818,20-04-2023
27,Area 1,129,402,481,544,21-04-2023
28,Area 1,125,258,547,633,22-04-2023
29,Area 1,122,331,513,795,23-04-2023
30,Area 1,144,360,403,521,24-04-2023
31,Area 1,121,248,528,777,25-04-2023
32,Area 1,142,360,563,808,26-04-2023
33,Area 1,142,391,545,584,27-04-2023
34,Area 1,140,268,612,507,28-04-2023
35,Area 1,107,377,584,675,29-04-2023
36,Area 1,142,253,577,765,30-04-2023
37,Area 1,125,360,598,605,01-05-2023
38,Area 2,128,386,614,641,02-05-2023
39,Area 2,114,267,442,707,03-05-2023
40,Area 2,95,331,455,792,04-05-2023
41,Area 2,149,217,490,774,05-05-2023
42,Area 2,140,319,480,702,06-05-2023
43,Area 2,153,360,490,496,07-05-2023
44,Area 2,124,236,391,604,08-05-2023
45,Area 2,102,320,404,645,09-05-2023
46,Area 2,159,232,419,671,10-05-2023
47,Area 2,135,369,543,514,11-05-2023
48,Area 2,109,332,603,830,12-05-2023
49,Area 2,101,374,416,574,13-05-2023
50,Area 2,154,334,425,832,14-05-2023
51,Area 2,150,403,529,805,15-05-2023
52,Area 2,101,416,389,606,16-05-2023
53,Area 2,148,358,542,620,17-05-2023
54,Area 2,136,309,540,526,18-05-2023
55,Area 2,117,379,537,795,19-05-2023
56,Area 2,146,319,438,655,20-05-2023
57,Area 2,158,316,555,828,21-05-2023
58,Area 2,125,384,382,696,22-05-2023
59,Area 2,135,222,436,786,23-05-2023
60,Area 2,93,268,544,486,24-05-2023
61,Area 2,145,281,524,484,25-05-2023
62,Area 2,130,233,407,630,26-05-2023
63,Area 2,121,284,419,871,27-05-2023
64,Area 2,101,354,394,723,28-05-2023
65,Area 2,131,265,491,866,29-05-2023
66,Area 2,141,240,530,668,30-05-2023
67,Area 2,136,271,451,895,31-05-2023
68,Area 2,98,294,404,552,01-06-2023
69,Area 2,96,389,590,611,02-06-2023
70,Area 2,152,348,588,802,03-06-2023
71,Area 2,114,411,407,551,04-06-2023
72,Area 2,155,357,616,679,05-06-2023
73,Area 2,107,255,503,519,06-06-2023
74,Area 2,119,317,544,495,07-06-2023
